Title,Author,Translator,Language ,Publication_Year,Publisher,Place_of_publication
The invention of printing in China and its spread westward,"Carter, Thomas Francis",N/A,English ,1931,Columbia University Press,New York
Christianity and science versus paganism and idolatry,"Porter, Henry Miller",N/A,English ,1930,The World Press INC.,Denver
Genghis Khan; the emperor of all men,"Lamb, Harold",N/A,English ,1930,R. M. McBride & company,New York
"Larson, duke of Mongolia","Larson, Frans August",N/A,English ,1930,"Little, Brown, and Company",Boston
Marching Sands,"Lamb, Harold",N/A,English ,1930,Jacobsen Publishing Company,New York
Shirt-tail and pigtail: nonchalant adventures in Central Asia,"Schroeder, Henry Alfred",N/A,English ,1930,"Minton, Balch & Company",New York
A history of the Orient,"Steiger, G. Nye",N/A,English ,1929,Ginn and Company,Boston
Forgotten tales of ancient China,"Dyson, Verne",N/A,English ,1927,The commercial Press,Shanghai
Genghis Khan; the emperor of all men,"Lamb, Harold",N/A,English ,1927,Garden City Publishers,Garden City
The works of Voltaire; a contemporary version,Voltaire ,"Fleming, William F.",English ,1927,Dingwall-Rock LTD,New York
A history of the Orient,"Steiger, G. Nye",N/A,English ,1926,Ginn and Company,Boston
"The great events by famous historians ; a comprehensive and readable account of the world's history, emphasizing the more important events, and presenting these as complete narratives in the master-words of the most eminent historians","Johnson, Rossitier (editor)",N/A,English ,1926,National Alumni,New York
The invention of printing in China and its spread westward,"Carter, Thomas Francis",N/A,English ,1925,Columbia University Press,New York
The makers of Cathay,"Allan, C. Wilfrid",N/A,English ,1925,The Presbyterian Mission Press,Shanghai
A child's history of the world,"Hillyer, V. M",N/A,English ,1924,D. Appleton and Company,New York
A thousand years of the Tartars,"Parker, Edward Harper",N/A,English ,1924,"Keegan Paul, Trench, Trubner and Co.",New York
"The middle ages, 395-1272","Munro, Dana Carleton",N/A,English ,1924,The Century co,New York
A sketch of Chinese history,"Pott, F. L. Hawks",N/A,English ,1923,Kelly and Wash Limited,Shanghai
China in American school text-books,"Liu, Tʻing-fang",N/A,English ,1923,Chinese social and political science association,Peking
Studies in empire and trade,"Jeudwine, J. W.",N/A,English ,1923,N/A,London
The Oxford history of India : from the earliest times to the end of 1911,"Smith, Vincent A.",N/A,English ,1923,Oxford University Press,London
"China's story in myth, legend, art and annals","Griffis, William Elliot",N/A,English ,1922,Houghton Mifflin Company,Boston
Cingis Han; die Geschichte seines Lebens nach den chinesischen Reichsannalen,"Song, Lian","Krause, Friedrich Ernst August",German,1922,C. Winter,Heidelberg
Peking; a historical and intimate description of its chief places of interest,"Bredon, Juliet",N/A,English ,1922,Kelly and Wash Limited,Shanghai
"The middle ages, 395-1272","Munro, Dana Carleton",N/A,English ,1922,The Century co,New York
A short world history,"Wilmot-Buxton, E. M",N/A,English ,1921,E. P. Dutton and Company,New York
"Memoirs of Zehīr-Ed-Dīn Muhammed Bābur, emperor of Hindustan, written by himself, in the Chaghatāi Tūrki Vol. 1","Babur, Zehir-Ed-Din ","Leyden, John and Erksine, William",English ,1921,Oxford University Press,Oxford
The mastery of the Far East; the story of Korea's transformation and Japan's rise to supremacy in the Orient,"Brown, Arthur Judson",N/A,English ,1921,C. Scribner's Sons,New York
"The middle ages, 395-1272","Munro, Dana Carleton",N/A,English ,1921,The Century co,New York
The question of the Near East,"Lybyer, Albert Howe",N/A,English ,1921,The Institute of International Education ,New York
The trade and administration of the Chinese empire,"Morse, Hosea Ballou",N/A,English ,1921,"Longmans, Green and Co.",London
Marching Sands,"Lamb, Harold",N/A,English ,1920,D. Appleton and Company,N/A
Peking; a historical and intimate description of its chief places of interest,"Bredon, Juliet",N/A,English ,1920,Kelly and Wash Limited,Shanghai
The Oxford history of India : from the earliest times to the end of 1911,"Smith, Vincent A.",N/A,English ,1920,Oxford University Press,London
"Russia, Mongolia, China, being some record of the relations between them from the beginnig of the XVIIth century to the death of the Tsar Alexei Mikhailovich, A.D. 1602-1676 : rendered mainly in the form of narratives dictated or written by the envoys sent by the Russian tsars, or their voevodas in Siberia to the Kalmuk and Mongol khans & princes; and to the emperors of China; with introductions, historical and geographical, also a series of maps, showing the progress of geographical knowledge in regard to northern Asia during the XVIth, XVIIth & early XVIIIth centuries, the texts taken more especially from manuscripts in the Moscow Foreign office archives Vol. 1","Baddeley, John F",N/A,English ,1919,Burt Franklin,New York
"The great events by famous historians ; a comprehensive and readable account of the world's history, emphasizing the more important events, and presenting these as complete narratives in the master-words of the most eminent historians","Johnson, Rossitier (editor)",N/A,English ,1919,National Alumni,New York
The mastery of the Far East; the story of Korea's transformation and Japan's rise to supremacy in the Orient,"Brown, Arthur Judson",N/A,English ,1919,C. Scribner's Sons,New York
The Oxford history of India : from the earliest times to the end of 1911,"Smith, Vincent A.",N/A,English ,1919,Oxford University Press,London
The works of Voltaire : a contemporary version a critique and a biography ,Voltaire ,"Fleming, William F.",English ,1919,E. R. DuMont,Paris
"Russia's story being a short popular history of Russiafrom the earliest times, and sketching the part that Russia has taken as yet in the great war, together with an account of the revolution","Shearwood, Joseph A.",N/A,English ,1918,Jarrolds,London
"The history of the Armenian people, from the remotest times to the present day","Morgan, Jacques de ","Barry, Ernest D",English ,1918,Hairenik Press,Boston
"Ghenkō, the Mongol invasion of Japan","Yamada, Nakaba",N/A,English ,1916,"Smith, Elder, and Co",London
"The great white wall, a poem","Benét, William Rose",N/A,English ,1916,Yale University Press,New Haven
A sketch of Chinese history,"Pott, F. L. Hawks",N/A,English ,1915,Kelly and Wash Limited,Shanghai
Confucianism and its rivals,"Giles, Herbert Allen",N/A,English ,1915,Williams and Norgate,London
Hermeneutic interpretation of the origin of the social state of man and of the destiny of the Adamic race,"Fabre d'Olivet, Antoine","Redfield, Náyan",English ,1915,G.P. Putnam's Sons,New York
I. Origen de los indios de América. II. Origen y civilization de los indígenas del Perú,"Prince, Carlos",N/A,Spanish,1915,Self Published,Lima
"Larned's History of the world Vol, 2","Larned, J.N.",N/A,English ,1915,"World syndicate company, inc",New York
A general history of the world,"Duruy, Victor",N/A,English ,1914,The Review of Reviews,New York
"Heroes and heroines of fiction, classical, mediæval, legendary; famous characters and famous names in novels, romances, poems and dramas, classified, analyzed and criticised, with suplementary citations from the best authorities","Walsh, William S. ",N/A,English ,1914,J. B. Lippincott company,Philadelphia
Jesuit adventure in China: during the reign of Kʻang Hsi,"Hibbert, Eloise Talcott",N/A,English ,1914,E. P. Dutton and company,New York
A sketch of Chinese history,"Pott, F. L. Hawks",N/A,English ,1913,Domestic and Foreign Missionary Society,New York
Our neighbors: the Chinese,"Goodrich, Joseph King",N/A,English ,1913,Browne & Howell Company,Chicago
A general history of the world vol 2,"Duruy, Victor",N/A,English ,1912,The Review of Reviews,New York
"Famous cavalry leaders, a book for boys; through the ages with the heroes of sabre, spur, and saddle; with faithful accounts of their forced marches, dashing raids, and glorious charges","Johnston, Charles H. L.",N/A,English ,1912,L.C. Page and Company,Boston
"Manchuria, Mongolia and Vladivostok","Madrolle, Claudius",N/A,English ,1912,Hachette and Company,London
"North-eastern China : Manchuria, Mongolia, Vladivostock, Korea",N/A,N/A,English ,1912,Hachette and Company,London
Russia Vol. 1,"Wallace, Donald Mackenzie",N/A,English ,1912,Cassell Petter and Galpin,London
Sketches of Georgian church history,"Dowling, D.D.",N/A,English ,1912,Society for Promoting Christian Knowledge,London
"China's story in myth, legend, art and annals","Griffis, William Elliot",N/A,English ,1911,Houghton Mifflin Company,Boston
"Corea, the hermit nation","Griffis, William Elliot",N/A,English ,1911,Charles Scribner's Sons,New York
"Eastern Asia, a history","Hannah, Ian C.",N/A,English ,1911,T. Fisher Unwin,London
Strange Siberia along the Trans-Siberian railway : a journey from the Great wall of China to the skyscrapers of Manhattan,"Taft, Marcus Lorenzo",N/A,English ,1911,Eaton & Mains,New York
The creed of half Japan: historical sketches of Japanese Buddhism,"Lloyd, Arthur",N/A,English ,1911,"Smith, Elder, and Co",London
A third Reader ,"Carroll, Clarence F.",N/A,English ,1910,D. Appleton and Company,New York
China,Boulger Demetrius Charles de Kavanaugh,N/A,English ,1910,Co-operative publication society,New York
"Famous cavalry leaders, through the ages with the heroes of sabre, spur, and saddle; with faithful accounts of their forced marches, dashing raids, and glorious charges","Johnston, Charles H. L.",N/A,English ,1910,L.C. Page and Company,Boston
Genghis Khan,"Abbott, Jacob",N/A,English ,1910,The Werner Company,Akron
History of the Syrian nation and the old Evangelical-Apostolic Church of the East from remote antiquity to the present time,"Malech, George David",N/A,English ,1910,N/A,Minneapolis
Modern history,"Fredet, Peter",N/A,English ,1910,John Murphy Company,Baltimore
Russia : its history and condition vol.2,"Wallace, Donald Mackenzie",N/A,English ,1910,J.B. Millet Co.,Boston
The Russian road to China,"Bates Jr., Lindon W.",N/A,English ,1910,Houghton Mifflin,Boston
The Chinese,"Thomson, John Stuart",N/A,English ,1909,The Bobs-Merril Company,Indianapolis
The Great Wall of China,"Geil, William Edgar ",N/A,English ,1909,John Murray,London
The makers of Cathay,"Allan, C. Wilfrid",N/A,English ,1909,The Presbyterian Mission Press,Shanghai
A sketch of Chinese history,"Pott, F. L. Hawks",N/A,English ,1908,Kelly and Wash Limited,Shanghai
China,Boulger Demetrius Charles de Kavanaugh,N/A,English ,1908,Co-operative publication society,New York
"Famous cavalry leaders, through the ages with the heroes of sabre, spur, and saddle; with faithful accounts of their forced marches, dashing raids, and glorious charges","Johnston, Charles H. L.",N/A,English ,1908,L.C. Page and Company,Boston
Harmsworth History of the World Vol.2,"Mee, Arthur",N/A,English ,1908,Caremlitè House,London
Historical tales : the romance of reality; Japanese and Chinese Angelus Edition,"Morris, Charles",N/A,English ,1908,J.B. Lippincott Company,Philadelphia
Russia Vol. 1,"Wallace, Donald Mackenzie",N/A,English ,1908,Henry Holt and Company,New York
The Mongols; a history,"Curtin, Jeremiah",N/A,English ,1908,"Little, Brown, and Company",Boston
The trade and administration of the Chinese empire,"Morse, Hosea Ballou",N/A,English ,1908,"Longmans, Green and Co.",London
"Corea, the hermit nation","Griffis, William Elliot",N/A,English ,1907,Charles Scribner's Sons,New York
Islam and Christianity in India and the Far East,"Wherry, E. M",N/A,English ,1907,Fleming H. Revell company ,London
The new America and the Far East; a picturesque and historic description of these lands and peoples Vol. 4,"Browne, George Waldo",N/A,English ,1907,Marshall Jones Company,Boston
The rise and fall of nations Vol. 1,"Larned, J. N.",N/A,English ,1907,The C.A. Nichols company,Springfield
The Chinese at home,"Bard, Emile","Twitchell, H.",English ,1906,George Newnes Limited,London
The imperial history of China / being a history of the Empire as compiled by the Chinese historians,N/A,"Macgowan, J. ",English ,1906,American Presbyterian Missions Press,Shanghai
The works of Voltaire : a contemporary version with notes,Voltaire ,"Fleming, William F.",English ,1906,Werner Company,Akron
China and Religion ,"Parker, Edward Harper",N/A,English ,1905,E. P. Dutton and Company,New York
Chinese life in town and country,"Bard, Emile","Twitchell, H.",English ,1905,G. P. Putnam's Sons,New York
"Corea, the hermit nation","Griffis, William Elliot",N/A,English ,1905,Harper & Brothers,London
Russia Vol. 1,"Wallace, Donald Mackenzie",N/A,English ,1905,Cassell and Company Limited,London
"Seventy centuries of the life of mankind; in a survey of history from the earliest known records through all stages of civilization, in all important countries, down to the present time Vol. 1","Larned, J. N.",N/A,English ,1905,C. A. Nichols,Springfield
"The great events by famous historians ; a comprehensive and readable account of the world's history, emphasizing the more important events, and presenting these as complete narratives in the master-words of the most eminent historians","Johnson, Rossitier (editor)",N/A,English ,1905,National Alumni,New York
The history of Russia from the earliest times to 1877 v.1,"Rambaud, Alfred","Lang, Lenora B.",English ,1905,John W. Lovell Company,New York
The story of Russia,"Van Bergen, R.",N/A,English ,1905,American Book Company,New York
The works of Voltaire : a contemporary version with notes,Voltaire ,"Fleming, William F.",English ,1905,E. R. DuMont,Paris
Through hidden Shensi,"Nichols, Francis H.",N/A,English ,1905,John Scribner's Sons,New York
"Chart of famous characters, and salient points of history","Hewitt, Edward G",N/A,English ,1904,N/A,N/A
"Corea, the hermit nation","Griffis, William Elliot",N/A,English ,1904,Charles Scribner's Sons,New York
Genghis Khan,"Abbott, Jacob",N/A,English ,1904,Harper & Brothers,New York
Historical tales : the romance of reality; Japan and China,"Morris, Charles",N/A,English ,1904,The R.H. Whitten Company,New York
"Historical tales, the romance of reality : Russian","Morris, Charles",N/A,English ,1904,Martin and Hoyt Company,Atlanta
Illustrated school history of the world : from the earliest ages to the present time: accompanied with numerous maps and engravings,"Quackenbos, John Duncan",N/A,English ,1904,American Book Company,New York
"Japan, the place & the people","Browne, George Waldo",N/A,English ,1904,Dana Estes and company,Boston
Japan; described and illustrated by the Japanese; written by eminent Japanese authorities and scholars,"Brinkley, F. (editor)",N/A,English ,1904,J. R. Milllet Company,Boston
Russia Vol. 1,"Rambaud, Alfred","Lang, Lenora D.",English ,1904,The co-operative publication society,New York
The history of Russia from the earliest times to 1877 v.1,"Rambaud, Alfred","Lang, Lenora D.",English ,1904,A.L. Burt Company Publishers,New York
The story of Bohemia from the earliest times to the fall of national independence in 1620 : with a short summary of later events,"Maurice, C. Edmund",N/A,English ,1904,Putnam,New York
A flight for life and an inside view of Mongolia,"Roberts, James Hudson ",N/A,English ,1903,The Pilgrim Press,Boston
A sketch of Chinese history,"Pott, F. L. Hawks",N/A,English ,1903,Kelly and Wash Limited,Shanghai
Historical tales the romance of reality; Japan and China,"Morris, Charles",N/A,English ,1903,George N. Morang and Company,Toronto
"Historical tales, the romance of reality : Japan and China","Morris, Charles",N/A,English ,1903,J.B. Lippincott Company,Philadelphia
The destruction of the Greek empire and the story of the capture of Constantinople by the Turks,"Pears, Edwin",N/A,English ,1903,"Longmans, Green and Co.",London
The works of Voltaire : a contemporary version a critique and a biography Vol. 27,Voltaire ,"Fleming, William F.",English ,1903,E. R. DuMont,Paris
"A history of the precious metals, from the earliest times to the present","Del Mar, Alexander",N/A,English ,1902,Cambridge encyclopedia co,New York
"Chart of famous characters, and salient points of history","Hewitt, Edward G",N/A,English ,1902,N/A,N/A
"Corea, the hermit nation","Griffis, William Elliot",N/A,English ,1902,Charles Scribner's Sons,New York
"Feuilles de momidzi; études sur l'histoire, la littérature, les sciences, et les arts des Japonais","Rosny, Léon de",N/A,French,1902,E. Leroux,Paris
"Historical tales, the romance of reality : Russian","Morris, Charles",N/A,English ,1902,"Tandy, Wheeler, and Company",Philadelphia
Russia Vol. 1,"Rambaud, Alfred","Lang, Lenora D.",English ,1902,P.F. Collier and Son,New York
"The Chachnamah, an ancient history of Sind","Kūfī, ʻAlī ibn Ḥāmid",Mirza Kalichbeg Fredunbeg,English ,1902,Commishioner's press,Karachi
The history of the world; a survey of a man's record Vol. 2,"Helmolt, Hans F (editor)",N/A,English ,1902,"Dodd, Mead",New York
Through hidden Shensi,"Nichols, Francis H.",N/A,English ,1902,John Scribner's Sons,New York
China,"Boulger, Demetrius Charles",N/A,English ,1901,Peter Fenelon Collier and Son,New York
China; the country and its people,"Browne, George Waldo",N/A,English ,1901,Dana Estes and Company,Boston
Genghis Khan,"Abbott, Jacob",N/A,English ,1901,Harper & Brothers,New York
"Japan, the place & the people","Browne, George Waldo",N/A,English ,1901,Dana Estes and company,Boston
Japan; described and illustrated by the Japanese; written by eminent Japanese authorities and scholars Vol. 5,"Brinkley, F. (editor)",N/A,English ,1901,J. B. Millet Company,Boston
The works of Voltaire : a contemporary version a critique and a biography Vol. 29,Voltaire ,"Fleming, William F.",English ,1901,E. R. DuMont,Paris
Writings and speeches Vol.11,"Burke, Edmund",N/A,English ,1901,J.F. Taylor and Company,New York
A brief history of eastern Asia,"Hannah, I.C.",N/A,English ,1900,T.Fisher Unwin ,London
A condensed history of the middle ages,"Duruy, Victor","Grosvenor, Edwin A.",English ,1900,Thomas Y. Croswell and Sons,New York
A short history of China; an account for the general reader of an ancient empire and people,"Boulger, Demetrius Charles",N/A,English ,1900,Gibbings & Company limited,London
China,"Boulger, Demetrius Charles de Kavanagh",N/A,English ,1900,Peter Fenelon Collier and Son,New York
"China, the Orient and the yellow man","Northrop, Henry Davenport",N/A,English ,1900,N/A,N/A
Chinese horrors and persecutions of the Christians,"Northrop, Henry Davenport",N/A,English ,1900,World Bible House,Philadelphia
"Eighteen years in the Khyber, 1879-1898","Warburton, Robert",N/A,English ,1900,John Murray,London
Histoire de la Russie depuis les origines jusqu'a nos jours,"Rambaud, Alfred",N/A,French,1900,Hachette ,Paris
"Modern history; from the coming of Christ and change of the Roman republic into an empire, to the year of our Lord 1854","Fredet, Peter",N/A,English ,1900,John Murphy Company,Baltimore
Russia Vol. 1,"Rambaud, Alfred","Lang, Lenora B.",English ,1900,P.F. Collier and Son,New York
"The Chachnamah, an ancient history of Sind","Kūfī, ʻAlī ibn Ḥāmid","Fredunbeg, Mirza ",English ,1900,Commishioner's press,Karachi
"True stories, from modern history: chronologically arranged, from the death of Charlemagne to the battle of Waterloo.","Strickland, Agnes",N/A,English ,1900,Henry T. Coates,Philadelphia
A brief history of mediæval and modern peoples,"Steele, Joel Dorman",N/A,English ,1899,A.S. Barnes and Company,New York
Ancient history of the East,"Duruy, Victor","Grosvenor, Edwin A.",English ,1899,Thomas Y. Croswell and Sons,New York
Genghis Khan,"Abbott, Jacob",N/A,English ,1899,Harper & Brothers,New York
"New manual of general history : with particular attention to ancient and modern civilization ...: for the use of colleges, high schools, academies","Anderson, John J.",N/A,English ,1899,"Maynard, Merrill & Co",New York
The heart of Asia; a history of Russian Turkestan and the Central Asian khanates from the earliest times,"Skrine, Francis Henry",N/A,English ,1899,Methuen and Co.,London
A Chinese biographical dictionary,"Giles, Herbert Allen",N/A,English ,1898,Paragon Book Gallery,New York
China,"Boulger, Demetrius Charles de Kavanagh",N/A,English ,1898,Peter Fenelon Collier and Son,New York
Dzsengisz-khán és a tatár uralom megalapitása; történeti rajz,"Lázár, Gyula",N/A,Hungarian ,1898,Franklin-Társulat,Budapest
Historical Tales : the romance of reality: Japan and China,"Morris, Charles",N/A,English ,1898,J.B. Lippincott Company,Philadelphia
"Historical tales, the romance of reality : Russian","Morris, Charles",N/A,English ,1898,J. B. Lippincott Company,Philadelphia
Russia Vol. 1,"Rambaud, Alfred","Lang, Lenora B.",English ,1898,P.F. Collier and Son,New York
The study of mediaeval history by the library method for high schools,"Getchell, M. S.",N/A,English ,1898,The Atheneum Press,Boston
A history of China from the earliest days down to the present,"Macgowan, J.",N/A,English ,1897,"Kegan Paul, Trench, Trubner and co",London
"Corea, the hermit nation","Griffis, William Elliot",N/A,English ,1897,Charles Scribner's Sons,New York
"Primitive civilizations; or, Outlines of the history of ownership in archaic communities","Simcox, E. J.",N/A,English ,1897,S. Sonnenschein & co,London
The Cabot legends,"Cabot, Sebastian",N/A,English ,1897,J. Durie and Son,Ottawa 
The history of Russia from the earliest times to 1877 v.1,"Rambaud, Alfred","Lang, Lenora B.",English ,1897,John B. Alden,New York
The romance of discovery; a thousand years of exploration and the unveiling of continents,"Griffis, William Elliot",N/A,English ,1897,W.A. Wilde,Boston
The romance of discovery; a thousand years of exploration and the unveiling of continents,"Willson, Marcius",N/A,English ,1897,W. A. Wilde and Company,Boston
The study of mediaeval history by the library method for high schools,"Getchell, M. S.",N/A,English ,1897,The Atheneum Press,Boston
"The legend of Perseus : a study of tradition in story, custom and belief vol. 1","Hartland, Edwin Sidney",N/A,English ,1896,David Nutt,London
The story of Bohemia from the earliest times to the fall of national independence in 1620 : with a short summary of later events,"Maurice, C. Edmund",N/A,English ,1896,G. P. Putnam's sons,New York
A thousand years of the Tartars,"Parker, Edward Harper",N/A,English ,1895,Shanghai,Kelly and Walsh
Cassell's illustrated universal history; The Middle Ages,"Oliver, Edmund",N/A,English ,1895,Cassell and Company Limited,London
"New manual of general history : with particular attention to ancient and modern civilization ...: for the use of colleges, high schools, academies","Anderson, John J.",N/A,English ,1895,"Maynard, Merrill & Co",New York
"Corea, the hermit nation","Griffis, William Elliot",N/A,English ,1894,Charles Scribner's Sons,New York
"Primitive civilizations; or, Outlines of the history of ownership in archaic communities","Simcox, E. J.",N/A,English ,1894,S. Sonnenschein & co,London
Slav and Moslem. Historical sketches,"Brodhead, Jane Milliken Napier",N/A,English ,1894,Aiken Publishing Company,Aiken
"The flowery kingdom and the land of the Mikado, or China, Japan and Corea containing their complete history down to the present time, etc., etc. Together with a graphic account of the war between China and Japan, its causes, land and naval battles, etc., etc","Northrop, Henry Davenpor",N/A,English ,1894,John K Hastings,Boston
"The history of Russia, from the earliest period to the present time. Compiled from the most authentic sources, including the works of Karamsin, Tooke, and Ségur Vol. 2","Kelly, Walter K.",N/A,English ,1894,Henry G. Bohn,London
A short history of China; an account for the general reader of an ancient empire and people,"Boulger, Demetrius Charles de Kavanagh",N/A,English ,1893,W. H. Allen and Co. ,London
China,"Boulger, Demetrius Charles de Kavanagh",N/A,English ,1893,Peter Fenelon Collier and Son,New York
Famous voyagers and explorers,"Bolton, Sarah Knowles",N/A,English ,1893,Thomas Y. Crowell Company,New York
Histoire de la Russie depuis les origines jusqu'à l'année 1884,"Rambaud, Alfred",N/A,French,1893,Hachette,Paris
